date,price ($/MWh)
05/22/21 00:00,36.491366
05/22/21 00:05,43.71463
05/22/21 00:10,41.25462
05/22/21 00:15,40.16484
05/22/21 00:20,40.93747
05/22/21 00:25,40.683063
05/22/21 00:30,40.345196
05/22/21 00:35,40.053876
05/22/21 00:40,38.603093
05/22/21 00:45,39.009693
05/22/21 00:50,37.98817
05/22/21 00:55,34.255576
05/22/21 01:00,41.895566
05/22/21 01:05,43.429633
05/22/21 01:10,39.778496
05/22/21 01:15,41.00974
05/22/21 01:20,38.880783
05/22/21 01:25,40.676743
05/22/21 01:30,37.706616
05/22/21 01:35,37.26976
05/22/21 01:40,36.66687
05/22/21 01:45,36.315483
05/22/21 01:50,36.44358
05/22/21 01:55,36.548586
05/22/21 02:00,38.023606
05/22/21 02:05,38.88715
05/22/21 02:10,39.089166
05/22/21 02:15,37.6274
05/22/21 02:20,37.401356
05/22/21 02:25,36.274256
05/22/21 02:30,35.859286
05/22/21 02:35,36.452933
05/22/21 02:40,36.84491
05/22/21 02:45,35.825423
05/22/21 02:50,34.8159
05/22/21 02:55,36.051863
05/22/21 03:00,36.526506
05/22/21 03:05,35.646936
05/22/21 03:10,35.708183
05/22/21 03:15,35.505486
05/22/21 03:20,35.550833
05/22/21 03:25,35.800566
05/22/21 03:30,35.530976
05/22/21 03:35,36.60854
05/22/21 03:40,37.383936
05/22/21 03:45,36.557933
05/22/21 03:50,34.980923
05/22/21 03:55,35.80105
05/22/21 04:00,35.78357
05/22/21 04:05,37.728186
05/22/21 04:10,37.821743
05/22/21 04:15,35.8643
05/22/21 04:20,35.340663
05/22/21 04:25,34.89389
05/22/21 04:30,40.194146
05/22/21 04:35,40.21048
05/22/21 04:40,39.30522
05/22/21 04:45,39.012996
05/22/21 04:50,37.48296
05/22/21 04:55,36.571083
05/22/21 05:00,30.329956
05/22/21 05:05,29.653226
05/22/21 05:10,29.420013
05/22/21 05:15,29.512463
05/22/21 05:20,29.75017
05/22/21 05:25,30.024813
05/22/21 05:30,32.423546
05/22/21 05:35,31.565433
05/22/21 05:40,33.962343
05/22/21 05:45,31.402203
05/22/21 05:50,30.758123
05/22/21 05:55,31.802993
05/22/21 06:00,39.57034
05/22/21 06:05,37.71143
05/22/21 06:10,36.520493
05/22/21 06:15,33.464613
05/22/21 06:20,32.167306
05/22/21 06:25,29.398516
