date,price ($/MWh)
5/1/2021 14:20,5.152336
5/1/2021 14:25,14.26084
5/1/2021 14:30,13.843063
5/1/2021 14:35,4.955383
5/1/2021 14:40,5.19769
5/1/2021 14:45,15.77219
5/1/2021 14:50,15.77219
5/1/2021 14:55,16.007046
5/1/2021 15:00,5.19424
5/1/2021 15:05,11.05339
5/1/2021 15:10,-0.003496
5/1/2021 15:15,4.946416
5/1/2021 15:20,7.420803
5/1/2021 15:25,16.328333
5/1/2021 15:30,16.59327
5/1/2021 15:35,16.231106
5/1/2021 15:40,16.309623
5/1/2021 15:45,16.45487
5/1/2021 15:50,16.197476
5/1/2021 15:55,5.28707
5/1/2021 16:00,-0.00945
5/1/2021 16:05,-0.00971
5/1/2021 16:10,-0.009233
5/1/2021 16:15,13.16594
5/1/2021 16:20,15.429453
5/1/2021 16:25,15.107463
5/1/2021 16:30,15.060486
5/1/2021 16:35,14.678813
5/1/2021 16:40,16.164553
5/1/2021 16:45,16.196676
5/1/2021 16:50,16.57301
5/1/2021 16:55,17.3476
5/1/2021 17:00,0.250676
5/1/2021 17:05,-0.001216
5/1/2021 17:10,0.24887
5/1/2021 17:15,7.715076
5/1/2021 17:20,13.456186
5/1/2021 17:25,16.708796
5/1/2021 17:30,18.566263
5/1/2021 17:35,19.39653
5/1/2021 17:40,20.688466
5/1/2021 17:45,21.070056
5/1/2021 17:50,23.079866
5/1/2021 17:55,21.135996
5/1/2021 18:00,17.783006
5/1/2021 18:05,16.592073
5/1/2021 18:10,17.02143
5/1/2021 18:15,21.122233
5/1/2021 18:20,21.763993
5/1/2021 18:25,26.702303
5/1/2021 18:30,35.48762
5/1/2021 18:35,53.27405
5/1/2021 18:40,74.615243
5/1/2021 18:45,145.659323
5/1/2021 18:50,1035.7537
5/1/2021 18:55,83.819076
5/1/2021 19:00,35.366166
5/1/2021 19:05,32.69449
5/1/2021 19:10,32.69449
5/1/2021 19:15,32.685653
5/1/2021 19:20,32.502726
5/1/2021 19:25,33.297283
5/1/2021 19:30,36.715333
5/1/2021 19:35,38.230303
5/1/2021 19:40,38.281903
5/1/2021 19:45,38.214216
5/1/2021 19:50,42.424586
5/1/2021 19:55,42.49784
5/1/2021 20:00,36.556003
5/1/2021 20:05,37.828043
5/1/2021 20:10,33.681336
5/1/2021 20:15,31.912666
5/1/2021 20:20,32.486056
5/1/2021 20:25,32.486056
5/1/2021 20:30,31.710396
5/1/2021 20:35,31.710396
5/1/2021 20:40,30.857983
5/1/2021 20:45,29.622106
5/1/2021 20:50,28.87077
5/1/2021 20:55,28.87077
5/1/2021 21:00,32.861603
5/1/2021 21:05,32.776833
5/1/2021 21:10,32.166616
5/1/2021 21:15,32.764906
5/1/2021 21:20,31.955033
5/1/2021 21:25,31.633
5/1/2021 21:30,34.004433
5/1/2021 21:35,32.450616
5/1/2021 21:40,31.78347
5/1/2021 21:45,31.836486
5/1/2021 21:50,31.46601
5/1/2021 21:55,30.27164
5/1/2021 22:00,30.13967
5/1/2021 22:05,32.29974
5/1/2021 22:10,32.29974
5/1/2021 22:15,31.020236
5/1/2021 22:20,29.148
5/1/2021 22:25,27.813273
5/1/2021 22:30,27.492376
5/1/2021 22:35,24.94888
5/1/2021 22:40,24.85049
5/1/2021 22:45,24.19248
5/1/2021 22:50,24.19148
5/1/2021 22:55,22.388223
5/1/2021 23:00,27.54526
5/1/2021 23:05,27.872736
5/1/2021 23:10,29.358856
5/1/2021 23:15,28.877093
5/1/2021 23:20,29.26309
5/1/2021 23:25,28.995443
5/1/2021 23:30,27.633683
5/1/2021 23:35,27.76878
5/1/2021 23:40,27.416976
5/1/2021 23:45,27.07589
5/1/2021 23:50,24.559716
5/1/2021 23:55,25.43533
5/2/2021 0:00,24.934216
5/2/2021 0:05,26.19358
5/2/2021 0:10,27.718563
5/2/2021 0:15,26.168683
5/2/2021 0:20,26.200726
5/2/2021 0:25,28.341876
5/2/2021 0:30,27.70288
5/2/2021 0:35,26.942936
5/2/2021 0:40,25.49253
5/2/2021 0:45,24.975463
5/2/2021 0:50,18.844923
5/2/2021 0:55,20.794813
5/2/2021 1:00,27.62662
5/2/2021 1:05,25.72467
5/2/2021 1:10,26.358813
5/2/2021 1:15,26.15475
5/2/2021 1:20,27.28178
5/2/2021 1:25,26.206213
5/2/2021 1:30,27.799776
5/2/2021 1:35,27.331846
5/2/2021 1:40,27.662996
5/2/2021 1:45,27.37481
5/2/2021 1:50,25.900163
5/2/2021 1:55,25.48939
5/2/2021 2:00,26.61885
5/2/2021 2:05,25.668016
5/2/2021 2:10,24.70062
5/2/2021 2:15,24.706516
5/2/2021 2:20,24.708563
5/2/2021 2:25,24.708563
5/2/2021 2:30,24.268146
5/2/2021 2:35,24.246813
5/2/2021 2:40,18.87966
5/2/2021 2:45,18.16051
5/2/2021 2:50,17.906316
5/2/2021 2:55,17.001363
