date,price ($/MWh)
9/1/2021 0:00,43.46451
9/1/2021 0:05,44.123226
9/1/2021 0:10,45.65489
9/1/2021 0:15,44.48187
9/1/2021 0:20,44.357596
9/1/2021 0:25,44.483136
9/1/2021 0:30,44.098753
9/1/2021 0:35,44.098753
9/1/2021 0:40,43.776073
9/1/2021 0:45,44.321136
9/1/2021 0:50,44.354756
9/1/2021 0:55,45.174393
9/1/2021 1:00,49.594646
9/1/2021 1:05,51.464813
9/1/2021 1:10,52.21328
9/1/2021 1:15,50.576246
9/1/2021 1:20,50.813873
9/1/2021 1:25,50.79362
9/1/2021 1:30,50.45839
9/1/2021 1:35,49.82055
9/1/2021 1:40,49.82055
9/1/2021 1:45,48.04798
9/1/2021 1:50,48.924096
9/1/2021 1:55,47.45478
9/1/2021 2:00,48.547076
9/1/2021 2:05,46.809613
9/1/2021 2:10,46.37874
9/1/2021 2:15,47.49815
9/1/2021 2:20,45.97935
9/1/2021 2:25,45.97935
9/1/2021 2:30,44.806893
9/1/2021 2:35,44.78561
9/1/2021 2:40,44.775026
9/1/2021 2:45,44.344403
9/1/2021 2:50,44.256083
9/1/2021 2:55,44.256083
9/1/2021 3:00,45.91834
9/1/2021 3:05,45.847506
9/1/2021 3:10,47.760393
9/1/2021 3:15,48.518366
9/1/2021 3:20,47.01344
9/1/2021 3:25,48.024623
9/1/2021 3:30,46.76159
9/1/2021 3:35,46.331196
9/1/2021 3:40,46.331196
9/1/2021 3:45,46.331196
9/1/2021 4:20,48.337896
9/1/2021 4:25,49.03545
9/1/2021 4:30,43.393983
9/1/2021 4:35,41.44955
9/1/2021 4:40,42.136293
9/1/2021 4:45,43.634243
9/1/2021 4:50,43.498243
9/1/2021 4:55,43.19583
9/1/2021 5:00,41.418013
9/1/2021 5:05,41.094916
9/1/2021 5:10,41.418013
9/1/2021 5:15,42.264663
9/1/2021 5:20,42.929263
9/1/2021 5:25,44.330066
9/1/2021 5:30,50.4149
9/1/2021 5:35,51.034953
9/1/2021 5:40,55.208106
9/1/2021 5:45,56.403463
9/1/2021 5:50,56.403463
